participant_id	biospecimen_id	paper_sample_id	context_key	U_number	n_files	synapse_id	verdict	evidence
HT235B1	HTA12_134_7	HT235B1H2-S1Fc1U1Z1B1	HT235B1H2-S1Fc1U#Z1B1	1	1	syn53215088	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_7	HT235B1H2-S1Fc1U1Z1B1	HT235B1H2-S1Fc1U#Z1B1	1	1	syn53215094	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_7	HT235B1H2-S1Fc1U1Z1B1	HT235B1H2-S1Fc1U#Z1B1	1	1	syn53215147	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_7	HT235B1H2-S1Fc1U1Z1B1	HT235B1H2-S1Fc1U#Z1B1	1	1	syn53215205	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_7	HT235B1H2-S1Fc1U1Z1B1	HT235B1H2-S1Fc1U#Z1B1	1	1	syn53215270	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_7	HT235B1H2-S1Fc1U1Z1B1	HT235B1H2-S1Fc1U#Z1B1	1	1	syn53215293	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_7	HT235B1H2-S1Fc1U1Z1B1	HT235B1H2-S1Fc1U#Z1B1	1	1	syn53215864	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_7	HT235B1H2-S1Fc1U1Z1B1	HT235B1H2-S1Fc1U#Z1B1	1	1	syn61462617	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_8	HT235B1H3-S1Fc1U1Z1B1	HT235B1H3-S1Fc1U#Z1B1	1	1	syn53215115	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_8	HT235B1H3-S1Fc1U1Z1B1	HT235B1H3-S1Fc1U#Z1B1	1	1	syn53215138	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_8	HT235B1H3-S1Fc1U1Z1B1	HT235B1H3-S1Fc1U#Z1B1	1	1	syn53215148	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_8	HT235B1H3-S1Fc1U1Z1B1	HT235B1H3-S1Fc1U#Z1B1	1	1	syn53215198	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_8	HT235B1H3-S1Fc1U1Z1B1	HT235B1H3-S1Fc1U#Z1B1	1	1	syn53215221	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_8	HT235B1H3-S1Fc1U1Z1B1	HT235B1H3-S1Fc1U#Z1B1	1	1	syn53215264	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_8	HT235B1H3-S1Fc1U1Z1B1	HT235B1H3-S1Fc1U#Z1B1	1	1	syn53215846	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT235B1	HTA12_134_8	HT235B1H3-S1Fc1U1Z1B1	HT235B1H3-S1Fc1U#Z1B1	1	1	syn61462663	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_5	HT242P1H1-S1Fc1U1Z1B1_1	HT242P1H1-S1Fc1U#Z1B1_1	1	1	syn51201479	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_5	HT242P1H1-S1Fc1U1Z1B1_1	HT242P1H1-S1Fc1U#Z1B1_1	1	1	syn51201494	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_5	HT242P1H1-S1Fc1U1Z1B1_1	HT242P1H1-S1Fc1U#Z1B1_1	1	1	syn51201500	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_5	HT242P1H1-S1Fc1U1Z1B1_1	HT242P1H1-S1Fc1U#Z1B1_1	1	1	syn51203275	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_5	HT242P1H1-S1Fc1U1Z1B1_1	HT242P1H1-S1Fc1U#Z1B1_1	1	1	syn51283207	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_5	HT242P1H1-S1Fc1U1Z1B1_1	HT242P1H1-S1Fc1U#Z1B1_1	1	1	syn51283231	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_5	HT242P1H1-S1Fc1U1Z1B1_1	HT242P1H1-S1Fc1U#Z1B1_1	1	1	syn51283246	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_5	HT242P1H1-S1Fc1U1Z1B1_1	HT242P1H1-S1Fc1U#Z1B1_1	1	1	syn61462738	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_6	HT242P1H2-S1Fc1U1Z1B1_1	HT242P1H2-S1Fc1U#Z1B1_1	1	1	syn51201478	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_6	HT242P1H2-S1Fc1U1Z1B1_1	HT242P1H2-S1Fc1U#Z1B1_1	1	1	syn51201504	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_6	HT242P1H2-S1Fc1U1Z1B1_1	HT242P1H2-S1Fc1U#Z1B1_1	1	1	syn51201509	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_6	HT242P1H2-S1Fc1U1Z1B1_1	HT242P1H2-S1Fc1U#Z1B1_1	1	1	syn51203286	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_6	HT242P1H2-S1Fc1U1Z1B1_1	HT242P1H2-S1Fc1U#Z1B1_1	1	1	syn51283208	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_6	HT242P1H2-S1Fc1U1Z1B1_1	HT242P1H2-S1Fc1U#Z1B1_1	1	1	syn51283232	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_6	HT242P1H2-S1Fc1U1Z1B1_1	HT242P1H2-S1Fc1U#Z1B1_1	1	1	syn51283247	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_6	HT242P1H2-S1Fc1U1Z1B1_1	HT242P1H2-S1Fc1U#Z1B1_1	1	1	syn61462655	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_7	HT242P1H3-S1Fc1U1Z1B1_1	HT242P1H3-S1Fc1U#Z1B1_1	1	1	syn51201480	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_7	HT242P1H3-S1Fc1U1Z1B1_1	HT242P1H3-S1Fc1U#Z1B1_1	1	1	syn51201482	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_7	HT242P1H3-S1Fc1U1Z1B1_1	HT242P1H3-S1Fc1U#Z1B1_1	1	1	syn51201499	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_7	HT242P1H3-S1Fc1U1Z1B1_1	HT242P1H3-S1Fc1U#Z1B1_1	1	1	syn51203263	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_7	HT242P1H3-S1Fc1U1Z1B1_1	HT242P1H3-S1Fc1U#Z1B1_1	1	1	syn51283205	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_7	HT242P1H3-S1Fc1U1Z1B1_1	HT242P1H3-S1Fc1U#Z1B1_1	1	1	syn51283233	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
HT242P1	HTA12_25_7	HT242P1H3-S1Fc1U1Z1B1_1	HT242P1H3-S1Fc1U#Z1B1_1	1	1	syn51283248	REJECT_DIFFERENT_BLOCK	all-U1 pattern across differing H-tokens; each U1 heads its own block (cf. Mo serial pattern: constant context + varying U)
